altitude,is_sea,digue,densite_bati,obstacle_height
0.0,true,0,0.0,0.0
1.0,true,0,0.0,0.0
1.3333333333333333,true,0,0.0,0.0
-1.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
0.0,true,0,0.0,0.0
1.9230769230769231,true,0,0.0,0.0
7.4375,true,0,0.0,0.0
7.428571428571429,true,0,0.0,0.0
5.2,true,0,0.0,0.0
4.5,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
0.0,true,0,0.0,0.0
0.7857142857142857,true,0,0.0,0.0
7.75,true,0,0.0,0.0
9.9375,true,0,0.0,0.0
9.5,true,0,0.0,0.0
7.25,true,0,0.0,0.0
2.1,true,0,0.0,0.0
3.25,true,0,0.0,0.0
2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
0.0,true,0,0.0,0.0
0.14285714285714285,true,0,0.0,0.0
6.4375,true,0,0.0,0.0
8.6875,true,0,0.0,0.0
9.0625,true,0,0.0,0.0
8.3125,true,0,0.0,0.0
6.625,false,0,0.0,0.0
7.875,false,0,0.0,0.0
7.153846153846154,false,0,0.0,0.0
5.0,false,0,0.0,0.0
1.0,false,0,0.0,0.0
-2.0,false,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
0.0,true,0,0.0,0.0
-1.0,true,0,0.0,0.0
5.4375,true,0,0.0,0.0
6.4375,true,0,0.0,0.0
8.1875,true,0,0.0,0.0
8.9375,true,0,0.0,0.0
8.5625,false,0,0.0,0.0
9.75,false,0,2.0430124999633743,0.0
9.5,false,0,5.305937499677704,0.0
8.4375,false,0,0.0,0.0
7.0625,false,0,0.0,0.0
2.0,false,0,0.0,0.0
-2.0,false,0,0.0,0.0
-2.0,false,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
-2.0,true,0,0.0,0.0
